Unnamed: 0,brand_name,rating,number_of_reviews,price
623,OLEVS,3.9,478000.0,"3,800"
624,Casio,4.0,1000.0,"11,695"
625,CRESTELLO,4.4,81000.0,348
626,Seiko,4.5,107000.0,"24,300"
627,Casio,4.3,147000.0,"12,994"
628,Fastrack,4.1,256000.0,"1,212"
629,Casio,4.3,226000.0,"9,386"
630,Fastrack,4.4,86000.0,"2,094"
631,SWISSTONE,3.6,5300.0,331
632,Titan,4.1,97000.0,"4,165"
633,Casio,5.0,1000.0,"4,695"
634,Casio,3.9,9000.0,"10,846"
635,Giordano,4.0,21000.0,"3,899"
636,Acnos,3.6,718000.0,265
637,Titan,3.6,25000.0,"37,395"
638,Seiko,4.6,28000.0,"54,000"
639,Casio,4.8,23000.0,"11,395"
640,Titan,4.1,1300.0,"2,587"
641,Shocknshop,3.8,924000.0,403
642,BOSS,4.3,29000.0,"25,661."
643,Armani Exchange,4.7,8000.0,"23,991"
644,Titan,4.6,72000.0,"26,276"
645,Generic,3.6,15000.0,499
646,Sonata,4.1,1200.0,998
647,Fastrack,4.2,71000.0,"1,356"
648,Titan,4.4,717000.0,"2,290"
649,Emporio Armani,4.0,28000.0,"15,397"
650,Sonata,4.4,74000.0,"1,245"
